ProjectCode,CountryISO3,AllocationYear,Cluster,Budget,PeopleTargeted
STUB_TCD_2024,TCD,2024,,1124572823.0,4509014
STUB_NER_2024,NER,2024,,662192757.0,2600000
STUB_CMR_2024,CMR,2024,,371369724.0,2900000
STUB_MLI_2024,MLI,2024,,701569941.0,5100000
STUB_NGA_2024,NGA,2024,,926542686.0,5900000
STUB_SSD_2024,SSD,2024,,1788817122.0,9913863
STUB_BFA_2024,BFA,2024,,934604385.0,4400000
STUB_CAF_2024,CAF,2024,,367670976.0,2286959
STUB_SDN_2024,SDN,2024,,2695680744.0,33699770
STUB_TCD_2023,TCD,2023,,920624766.0,4509014
STUB_SDN_2023,SDN,2023,,2565230201.0,33699770
STUB_CMR_2023,CMR,2023,,407309869.0,2900000
STUB_NER_2023,NER,2023,,583906619.0,2600000
STUB_CAF_2023,CAF,2023,,533305798.0,2286959
STUB_BFA_2023,BFA,2023,,876731475.0,4400000
STUB_SSD_2023,SSD,2023,,2055885216.0,9913863
STUB_MLI_2023,MLI,2023,,751470941.0,5100000
STUB_NER_2022,NER,2022,,552598446.0,2600000
STUB_CMR_2022,CMR,2022,,376046051.0,2900000
STUB_CAF_2022,CAF,2022,,461253975.0,2286959
STUB_TCD_2022,TCD,2022,,510909899.0,4509014
STUB_MLI_2022,MLI,2022,,685734819.0,5100000
STUB_SDN_2022,SDN,2022,,1936697740.0,33699770
STUB_BFA_2022,BFA,2022,,805099698.0,4400000
STUB_SSD_2022,SSD,2022,,1699588587.0,9913863
STUB_NER_2021,NER,2021,,523182880.0,2600000
STUB_BFA_2021,BFA,2021,,607875894.0,4400000
STUB_SDN_2021,SDN,2021,,1939814880.0,33699770
STUB_CMR_2021,CMR,2021,,361554315.0,2900000
STUB_MLI_2021,MLI,2021,,563286869.0,5100000
STUB_TCD_2021,TCD,2021,,617522407.0,4509014
STUB_SSD_2021,SSD,2021,,1677772788.0,9913863
STUB_NGA_2021,NGA,2021,,1006358629.0,5900000
STUB_CAF_2021,CAF,2021,,444760000.0,2286959
STUB_CAF_2020,CAF,2020,,553622290.0,2286959
STUB_NER_2020,NER,2020,,516074957.0,2600000
STUB_MLI_2020,MLI,2020,,474292180.0,5100000
STUB_SSD_2020,SSD,2020,,1899937964.0,9913863
STUB_CMR_2020,CMR,2020,,390920124.0,2900000
STUB_TCD_2020,TCD,2020,,664641160.0,4509014
STUB_BFA_2020,BFA,2020,,424357861.0,4400000
STUB_SDN_2020,SDN,2020,,1633403129.0,33699770
